"","sample","d13C","treatment","d18O","lab","treated","temp","baked","dO.off","dC.off"
"23","FE 03",-8.79,"treated",-2.58,"UU",TRUE,NA,FALSE,0.85,-0.529999999999999
"24","FE 04",-10.89,"treated",-0.54,"UU",TRUE,NA,FALSE,0.61,-0.270000000000001
"25","FE 05",-16.14,"treated",-5.04,"UU",TRUE,NA,FALSE,0.34,-0.390000000000001
"26","FE 06",-14.33,"treated",-3.49,"UU",TRUE,NA,FALSE,0.3,-0.65
"27","FE 07",-10.98,"treated",1.46,"UU",TRUE,NA,FALSE,0.56,-0.26
"28","FE 08",-9.76,"treated",-0.31,"UU",TRUE,NA,FALSE,-0.39,-0.24
"29","TIE",-15.2,"treated",-7.76,"UU",TRUE,NA,FALSE,0.290000000000001,-0.149999999999999
"30","BOO-11",-15.16,"treated",-7.42,"UU",TRUE,NA,FALSE,-0.37,-0.699999999999999
"31","FE 01",-9.73,"treated_baked_30",-0.99,"UU",TRUE,"30",TRUE,-0.3,-0.360000000000001
"32","FE 02",-16.03,"treated_baked_30",-7.42,"UU",TRUE,"30",TRUE,-0.15,-0.740000000000002
"33","FE 03",-8.89,"treated_baked_30",-3.19,"UU",TRUE,"30",TRUE,0.24,-0.630000000000001
"34","FE 04",-10.99,"treated_baked_30",-1.04,"UU",TRUE,"30",TRUE,0.11,-0.370000000000001
"35","FE 05",-16.23,"treated_baked_30",-5.32,"UU",TRUE,"30",TRUE,0.0599999999999996,-0.48
"36","FE 06",-14.38,"treated_baked_30",-3.83,"UU",TRUE,"30",TRUE,-0.04,-0.700000000000001
"37","FE 07",-11.09,"treated_baked_30",0.83,"UU",TRUE,"30",TRUE,-0.0700000000000001,-0.369999999999999
"38","FE 08",-9.91,"treated_baked_30",-0.4,"UU",TRUE,"30",TRUE,-0.48,-0.390000000000001
"39","TIE",-15.31,"treated_baked_30",-8.27,"UU",TRUE,"30",TRUE,-0.219999999999999,-0.26
"40","BOO-11",-15.05,"treated_baked_30",-8.06,"UU",TRUE,"30",TRUE,-1.01,-0.59
"41","FE 01",-9.48,"untreated",-0.88,"DPAA",FALSE,NA,FALSE,0,0
"42","FE 02",-15.1,"untreated",-7.06,"DPAA",FALSE,NA,FALSE,0,0
"43","FE 03",-8.28,"untreated",-2.47,"DPAA",FALSE,NA,FALSE,0,0
"44","FE 04",-10.78,"untreated",-1.71,"DPAA",FALSE,NA,FALSE,0,0
"45","FE 05",-15.95,"untreated",-5.57,"DPAA",FALSE,NA,FALSE,0,0
"46","FE 06",-13.54,"untreated",-3.75,"DPAA",FALSE,NA,FALSE,0,0
"47","FE 07",-10.96,"untreated",0.71,"DPAA",FALSE,NA,FALSE,0,0
"48","FE 08",-9.53,"untreated",0.42,"DPAA",FALSE,NA,FALSE,0,0
"49","TIE",-15.04,"untreated",-6.86,"DPAA",FALSE,NA,FALSE,0,0
"50","BOO-11",-14.31,"untreated",-6.28,"DPAA",FALSE,NA,FALSE,0,0
"51","FE 01",-9.31,"untreated_baked",-1.37,"DPAA",FALSE,NA,TRUE,-0.49,0.17
"52","FE 02",-15.15,"untreated_baked",-7.23,"DPAA",FALSE,NA,TRUE,-0.170000000000001,-0.0500000000000007
"53","FE 03",-8.31,"untreated_baked",-3.16,"DPAA",FALSE,NA,TRUE,-0.69,-0.0300000000000011
