"","sample","treatment","d13C","d18O","rxn_time","lab","treated","temp","baked"
"92","FE 02","treated_unbaked_50",-15.5,-4.2,"24","DPAA",TRUE,"50",FALSE
"93","FE 03","treated_unbaked_50",-8.35,-0.58,"24","DPAA",TRUE,"50",FALSE
"94","FE 04","treated_unbaked_50",-10.79,0.84,"24","DPAA",TRUE,"50",FALSE
"95","FE 05","treated_unbaked_50",-15.95,-3.17,"24","DPAA",TRUE,"50",FALSE
"96","FE 06","treated_unbaked_50",-13.84,-1.17,"24","DPAA",TRUE,"50",FALSE
"97","FE 07","treated_unbaked_50",-10.79,2.2,"24","DPAA",TRUE,"50",FALSE
"98","FE 08","treated_unbaked_50",-9.35,2.2,"24","DPAA",TRUE,"50",FALSE
"99","TIE","treated_unbaked_50",-15.3,-6.9,"24","DPAA",TRUE,"50",FALSE
"100","BOO-11","treated_unbaked_50",-14.7,-3.84,"24","DPAA",TRUE,"50",FALSE
"101","BOO-11","untreated_unbaked_30",-14.55,-8.53,"24","UU",FALSE,"30",FALSE
"102","FE01","untreated_unbaked_30",-9.33,-1.03,"24","UU",FALSE,"30",FALSE
"103","FE02","untreated_unbaked_30",-15.51,-7.55,"24","UU",FALSE,"30",FALSE
"104","FE03","untreated_unbaked_30",-8.29,-3.9,"24","UU",FALSE,"30",FALSE
"105","FE04","untreated_unbaked_30",-10.59,-1.6,"24","UU",FALSE,"30",FALSE
"106","FE05","untreated_unbaked_30",-15.97,-5.67,"24","UU",FALSE,"30",FALSE
"107","FE06","untreated_unbaked_30",-13.74,-4.23,"24","UU",FALSE,"30",FALSE
"108","FE07","untreated_unbaked_30",-10.56,0.54,"24","UU",FALSE,"30",FALSE
"109","FE08","untreated_unbaked_30",-9.44,-0.82,"24","UU",FALSE,"30",FALSE
"110","TIE","untreated_unbaked_30",-15.21,-8.27,"24","UU",FALSE,"30",FALSE
"111","FE 01","untreated_unbaked_50",-9.31,-0.52,"8","DPAA",FALSE,"50",FALSE
"112","FE 02","untreated_unbaked_50",-15.03,-6.16,"8","DPAA",FALSE,"50",FALSE
"113","FE 03","untreated_unbaked_50",-8.14,-2.46,"8","DPAA",FALSE,"50",FALSE
"114","FE 04","untreated_unbaked_50",-10.43,-1.24,"8","DPAA",FALSE,"50",FALSE
"115","FE 05","untreated_unbaked_50",-15.91,-6.29,"8","DPAA",FALSE,"50",FALSE
"116","FE 06","untreated_unbaked_50",-13.37,-3.29,"8","DPAA",FALSE,"50",FALSE
"117","FE 07","untreated_unbaked_50",-10.37,0.19,"8","DPAA",FALSE,"50",FALSE
"118","FE 08","untreated_unbaked_50",-9.45,-0.19,"8","DPAA",FALSE,"50",FALSE
"119","TIE","untreated_unbaked_50",-14.67,-8.52,"8","DPAA",FALSE,"50",FALSE
"120","BOO-11","untreated_unbaked_50",-14.29,-6.66,"8","DPAA",FALSE,"50",FALSE
"121","FE 01","treated_baked_50",-9.3,0.48,"8","DPAA",TRUE,"50",TRUE
"122","FE 02","treated_baked_50",-15.14,-5.57,"8","DPAA",TRUE,"50",TRUE
"123","FE 03","treated_baked_50",-8.1,-1.77,"8","DPAA",TRUE,"50",TRUE
"124","FE 04","treated_baked_50",-10.3,-0.33,"8","DPAA",TRUE,"50",TRUE
"125","FE 05","treated_baked_50",-15.54,-4.1,"8","DPAA",TRUE,"50",TRUE
"126","FE 06","treated_baked_50",-13.39,-2.78,"8","DPAA",TRUE,"50",TRUE
"127","FE 07","treated_baked_50",-10.4,1.03,"8","DPAA",TRUE,"50",TRUE
"128","FE 08","treated_baked_50",-9.19,1.03,"8","DPAA",TRUE,"50",TRUE
"129","TIE","treated_baked_50",-14.78,-7.48,"8","DPAA",TRUE,"50",TRUE
"130","BOO-11","treated_baked_50",-14.38,-5.54,"8","DPAA",TRUE,"50",TRUE
