"","sample","type","value","lab","iso"
"189","FE 08","Untreated (30)",0.03,"interlab","C"
"190","FE 08","Untreated & Baked",0.44,"interlab","O"
"191","FE 08","Untreated (30)",0.34,"interlab","O"
"192","FE 08","Treated",1.65,"interlab","O"
"193","FE 08","Baking-Not Baking",0.15,"DPAA","C"
"194","FE 08","50-30, Untreated",-0.07,"DPAA","C"
"195","FE 08","Baking-Not Baking",-0.77,"DPAA","O"
"196","FE 08","50-30, Untreated",0.81,"DPAA","O"
"197","FE 08","Treated-Untreated",0.18,"DPAA","C"
"198","FE 08","Baking-Not Baking, Treated",-0.04,"DPAA","C"
"199","FE 08","50-30, Treated",0,"DPAA","C"
"200","FE 08","Baking-Not Baking, Treated",-1.56,"DPAA","O"
"201","FE 08","50-30, Treated",0.86,"DPAA","O"
"202","FE 08","Baking-Not Baking",-0.87,"UU","O"
"203","FE 08","Baking-Not Baking",0.03,"UU","C"
"204","FE 08","Treated-Untreated",-0.25,"UU","C"
"205","FE 08","Treated-Untreated",-0.39,"UU","O"
"206","FE 08","Treated-Untreated",0.92,"DPAA","O"
"207","FE 08","Baking-Not Baking, Treated",-0.09,"UU","O"
"208","FE 08","Baking-Not Baking, Treated",-0.14,"UU","C"
"209","TIE","Untreated",0.01,"interlab","C"
"210","TIE","Treated",0.39,"interlab","C"
"211","TIE","Untreated & Baked",0.25,"interlab","C"
"212","TIE","Untreated",1.19,"interlab","O"
"213","TIE","Untreated (50)",0.01,"interlab","C"
"214","TIE","Untreated (50)",1.14,"interlab","O"
"215","TIE","Untreated (30)",-0.09,"interlab","C"
"216","TIE","Untreated & Baked",0.41,"interlab","O"
"217","TIE","Untreated (30)",1.19,"interlab","O"
"218","TIE","Treated",1.61,"interlab","O"
"219","TIE","Baking-Not Baking",0.15,"DPAA","C"
"220","TIE","50-30, Untreated",0,"DPAA","C"
"221","TIE","Baking-Not Baking",-1.28,"DPAA","O"
"222","TIE","50-30, Untreated",-0.05,"DPAA","O"
"223","TIE","Treated-Untreated",0.23,"DPAA","C"
"224","TIE","Baking-Not Baking, Treated",0.16,"DPAA","C"
"225","TIE","50-30, Treated",-0.49,"DPAA","C"
"226","TIE","Baking-Not Baking, Treated",-0.07,"DPAA","O"
"227","TIE","50-30, Treated",-0.75,"DPAA","O"
"228","TIE","Baking-Not Baking",-0.5,"UU","O"
