"","sample","type","value","lab","iso","treated","temp","baked","d18O","d13C"
"131","FE 07","d13c_utah_treated",-10.98,"UU","C",TRUE,NA,FALSE,NA,-10.98
"132","FE 07","d13c_utah_treated_baked_30",-11.09,"UU","C",TRUE,"30",TRUE,NA,-11.09
"133","FE 07","d13c_dpaa_treated",-10.53,"DPAA","C",TRUE,NA,FALSE,NA,-10.53
"134","FE 07","d13c_dpaa_treated_baked",-10.65,"DPAA","C",TRUE,NA,TRUE,NA,-10.65
"135","FE 07","d13c_dpaa_treated_baked_50",-10.79,"DPAA","C",TRUE,"50",TRUE,NA,-10.79
"136","FE 07","d18o_utah_treated",1.46,"UU","O",TRUE,NA,FALSE,1.46,NA
"137","FE 07","d18o_utah_treated_baked_30",0.83,"UU","O",TRUE,"30",TRUE,0.83,NA
"138","FE 07","d18o_dpaa_treated",1.6,"DPAA","O",TRUE,NA,FALSE,1.6,NA
"139","FE 07","d18o_dpaa_treated_baked",0.97,"DPAA","O",TRUE,NA,TRUE,0.97,NA
"140","FE 07","d18o_dpaa_treated_baked_50",2.2,"DPAA","O",TRUE,"50",TRUE,2.2,NA
"141","FE 08","d13c_utah_untreated",-9.52,"UU","C",FALSE,NA,FALSE,NA,-9.52
"142","FE 08","d13c_utah_untreated_baked_30",-9.49,"UU","C",FALSE,"30",TRUE,NA,-9.49
"143","FE 08","d13c_dpaa_untreated",-9.53,"DPAA","C",FALSE,NA,FALSE,NA,-9.53
"144","FE 08","d13c_dpaa_untreated_baked",-9.38,"DPAA","C",FALSE,NA,TRUE,NA,-9.38
"145","FE 08","d13c_dpaa_untreated_baked_50",-9.6,"DPAA","C",FALSE,"50",TRUE,NA,-9.6
"146","FE 08","d18o_utah_untreated",0.08,"UU","O",FALSE,NA,FALSE,0.08,NA
"147","FE 08","d18o_utah_untreated_baked_30",-0.79,"UU","O",FALSE,"30",TRUE,-0.79,NA
"148","FE 08","d18o_dpaa_untreated",0.42,"DPAA","O",FALSE,NA,FALSE,0.42,NA
"149","FE 08","d18o_dpaa_untreated_baked",-0.35,"DPAA","O",FALSE,NA,TRUE,-0.35,NA
"150","FE 08","d18o_dpaa_untreated_baked_50",1.23,"DPAA","O",FALSE,"50",TRUE,1.23,NA
"151","FE 08","d13c_utah_treated",-9.76,"UU","C",TRUE,NA,FALSE,NA,-9.76
"152","FE 08","d13c_utah_treated_baked_30",-9.91,"UU","C",TRUE,"30",TRUE,NA,-9.91
"153","FE 08","d13c_dpaa_treated",-9.35,"DPAA","C",TRUE,NA,FALSE,NA,-9.35
"154","FE 08","d13c_dpaa_treated_baked",-9.39,"DPAA","C",TRUE,NA,TRUE,NA,-9.39
"155","FE 08","d13c_dpaa_treated_baked_50",-9.35,"DPAA","C",TRUE,"50",TRUE,NA,-9.35
"156","FE 08","d18o_utah_treated",-0.31,"UU","O",TRUE,NA,FALSE,-0.31,NA
"157","FE 08","d18o_utah_treated_baked_30",-0.4,"UU","O",TRUE,"30",TRUE,-0.4,NA
"158","FE 08","d18o_dpaa_treated",1.34,"DPAA","O",TRUE,NA,FALSE,1.34,NA
"159","FE 08","d18o_dpaa_treated_baked",-0.22,"DPAA","O",TRUE,NA,TRUE,-0.22,NA
"160","FE 08","d18o_dpaa_treated_baked_50",2.2,"DPAA","O",TRUE,"50",TRUE,2.2,NA
"161","TIE","d13c_utah_untreated",-15.05,"UU","C",FALSE,NA,FALSE,NA,-15.05
"162","TIE","d13c_utah_untreated_baked_30",-15.14,"UU","C",FALSE,"30",TRUE,NA,-15.14
"163","TIE","d13c_dpaa_untreated",-15.04,"DPAA","C",FALSE,NA,FALSE,NA,-15.04
"164","TIE","d13c_dpaa_untreated_baked",-14.89,"DPAA","C",FALSE,NA,TRUE,NA,-14.89
"165","TIE","d13c_dpaa_untreated_baked_50",-15.04,"DPAA","C",FALSE,"50",TRUE,NA,-15.04
"166","TIE","d18o_utah_untreated",-8.05,"UU","O",FALSE,NA,FALSE,-8.05,NA
"167","TIE","d18o_utah_untreated_baked_30",-8.55,"UU","O",FALSE,"30",TRUE,-8.55,NA
"168","TIE","d18o_dpaa_untreated",-6.86,"DPAA","O",FALSE,NA,FALSE,-6.86,NA
"169","TIE","d18o_dpaa_untreated_baked",-8.14,"DPAA","O",FALSE,NA,TRUE,-8.14,NA
"170","TIE","d18o_dpaa_untreated_baked_50",-6.91,"DPAA","O",FALSE,"50",TRUE,-6.91,NA
"171","TIE","d13c_utah_treated",-15.2,"UU","C",TRUE,NA,FALSE,NA,-15.2
"172","TIE","d13c_utah_treated_baked_30",-15.31,"UU","C",TRUE,"30",TRUE,NA,-15.31
"173","TIE","d13c_dpaa_treated",-14.81,"DPAA","C",TRUE,NA,FALSE,NA,-14.81
"174","TIE","d13c_dpaa_treated_baked",-14.65,"DPAA","C",TRUE,NA,TRUE,NA,-14.65
"175","TIE","d13c_dpaa_treated_baked_50",-15.3,"DPAA","C",TRUE,"50",TRUE,NA,-15.3
"176","TIE","d18o_utah_treated",-7.76,"UU","O",TRUE,NA,FALSE,-7.76,NA
"177","TIE","d18o_utah_treated_baked_30",-8.27,"UU","O",TRUE,"30",TRUE,-8.27,NA
"178","TIE","d18o_dpaa_treated",-6.15,"DPAA","O",TRUE,NA,FALSE,-6.15,NA
"179","TIE","d18o_dpaa_treated_baked",-6.22,"DPAA","O",TRUE,NA,TRUE,-6.22,NA
"180","TIE","d18o_dpaa_treated_baked_50",-6.9,"DPAA","O",TRUE,"50",TRUE,-6.9,NA
"181","BOO-11","d13c_utah_untreated",-14.46,"UU","C",FALSE,NA,FALSE,NA,-14.46
"182","BOO-11","d13c_utah_untreated_baked_30",-14.42,"UU","C",FALSE,"30",TRUE,NA,-14.42
"183","BOO-11","d13c_dpaa_untreated",-14.31,"DPAA","C",FALSE,NA,FALSE,NA,-14.31
"184","BOO-11","d13c_dpaa_untreated_baked",-14.32,"DPAA","C",FALSE,NA,TRUE,NA,-14.32
"185","BOO-11","d13c_dpaa_untreated_baked_50",-14.68,"DPAA","C",FALSE,"50",TRUE,NA,-14.68
"186","BOO-11","d18o_utah_untreated",-7.05,"UU","O",FALSE,NA,FALSE,-7.05,NA
"187","BOO-11","d18o_utah_untreated_baked_30",-8.3,"UU","O",FALSE,"30",TRUE,-8.3,NA
"188","BOO-11","d18o_dpaa_untreated",-6.28,"DPAA","O",FALSE,NA,FALSE,-6.28,NA
"189","BOO-11","d18o_dpaa_untreated_baked",-6.92,"DPAA","O",FALSE,NA,TRUE,-6.92,NA
"190","BOO-11","d18o_dpaa_untreated_baked_50",-4.63,"DPAA","O",FALSE,"50",TRUE,-4.63,NA
"191","BOO-11","d13c_utah_treated",-15.16,"UU","C",TRUE,NA,FALSE,NA,-15.16
"192","BOO-11","d13c_utah_treated_baked_30",-15.05,"UU","C",TRUE,"30",TRUE,NA,-15.05
"193","BOO-11","d13c_dpaa_treated",-14.16,"DPAA","C",TRUE,NA,FALSE,NA,-14.16
"194","BOO-11","d13c_dpaa_treated_baked",-14.19,"DPAA","C",TRUE,NA,TRUE,NA,-14.19
"195","BOO-11","d13c_dpaa_treated_baked_50",-14.7,"DPAA","C",TRUE,"50",TRUE,NA,-14.7
"196","BOO-11","d18o_utah_treated",-7.42,"UU","O",TRUE,NA,FALSE,-7.42,NA
"197","BOO-11","d18o_utah_treated_baked_30",-8.06,"UU","O",TRUE,"30",TRUE,-8.06,NA
"198","BOO-11","d18o_dpaa_treated",-5.89,"DPAA","O",TRUE,NA,FALSE,-5.89,NA
"199","BOO-11","d18o_dpaa_treated_baked",-6.67,"DPAA","O",TRUE,NA,TRUE,-6.67,NA
"200","BOO-11","d18o_dpaa_treated_baked_50",-3.84,"DPAA","O",TRUE,"50",TRUE,-3.84,NA
